Property Names,Brand,State,Location,Property type,Pet-friendly,Factsheets,Status,Factsheet SPOC,Updated,OTA Listing Content,Unnamed: 11,Website content Website Amenities,Status.1,Brochure Content,Status.2,Website live Status,Brochure Design (Branded) link,Brochure Design (Branded) Bitly Link,Status.3,Remarks,Brochure_Branded | Verification,"Brochure Design 
(Non-Branded) Link",Brochure Design (Non-Branded) Bitly Link,Status.4,"Home Guide
(Content)","Home Guide
(Design)",Remarks.1,Brochure_Non Branded | Verification,Set Menu (Branded),Set Menu,"Walk-Through Videos 
(Branded) links",Non-branded Walkthrough links,"Walk-Through Videos 
(Non-Branded) links",Non-Branded photo drive links,Unnamed: 35,Raw Photoshoot,Photo Drive Link,3D Tour,Reels,ID,Price,Email
ELIVAAS Cloud 7 Tropical (Villa No 6),ELIVAAS,Goa,Vagator,4-BHK Villa,No,"Cloud 7(details to be replicated for Villa 5- Palm, 6-tropical, 7 - Coral) Details Form",Yes,,,"TROPICAL, C-7 Listing Content",Done,,,"TROPICAL, C-7 Brochure Content.docx",Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,CLOUD 7 TROPICAL HOME GUIDE,Cloud 7 Tropical - HOME GUIDE.pdf,,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3SXluPD,Cloud 7  Tropical,,Villa 3,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",,,
ELIVAAS BluDoor,ELIVAAS,Goa,Assagao,5-BHK Villa,Pet-friendly,BluDoor Property Details Form,Yes,,,BLUDOOR Listing Content,Done,BLUDOOR WEBSITE SPACES SECTION,Done,BLUDOOR Brochure Content .docx,Done,Done,ELIVAAS_Bludoor_Detailed Brochure.pdf,https://bit.ly/48cNunl,Done,Good To Go,,G1BR5E0011_Detailed Brochure.pdf,https://bit.ly/3uUzuQN,Done,Bludoor_Home Guide_Goa,BluDoor - HOME GUIDE -compressed.pdf,Good To Go,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Bludoor Walkthrough.mp4,Bludoor Walkthrough.mp4,G1BR5E0011.mp4,https://bit.ly/3uwmAbQ,BluDoor,,BluDoor,https://bit.ly/3RxZ6MF,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/",,,
ELIVAAS Celest,ELIVAAS,Goa,Arpora,4-BHK Villa,Pet-friendly,Celest Property Details Form,Yes,,,CELEST Listing Content,Done,,,Serene s,Done,Done,ELIVAAS_Celest_4-BHK_Detailed Brochure.pdf,https://bit.ly/3Tmu0bR,Done,Good To Go,,G1CT4E0012_Detailed Brochure.pdf,https://bit.ly/4afsCh9,Done,CELEST HOME GUIDE,Celest - HOME GUIDE.pdf,Good To Go,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Celest Walkthrough.mp4,Celeste Walkthrough.mp4,G1CT4E0012.mp4,https://bit.ly/3wbSM4N,Celest,,Celest - 4 BHK Arpora,https://bit.ly/3PXwhbn,"https://www.instagram.com/p/C-hXq_CIxAc/, https://www.instagram.com/p/C9w_raXIWaY/, https://www.instagram.com/p/C7B_SKroR9O/",,,
ELIVAAS Opalys,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Opalys Property Details Form,Yes,,,OPALYS Listing Content,Done,,,OPALYS Brochure Content.docx,Done,Done,Elivaas_OPALYS_Detailed Brochure.pdf,https://bit.ly/3GGCfI0,Done,Good To Go,,G1OS4E0017_Detailed Brochure .pdf,https://bit.ly/48ekI5J,Done,OPLAYS HOME GUIDE,Opalys - HOME GUIDE.pdf,Good To Go,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Opalys.mp4,,G1OS4E0017.mp4,https://bit.ly/3UEVMkn,Opalys,,Opalys - 4 BHK Arpora,https://bit.ly/3RINKpj,https://www.instagram.com/p/DCy8HHXopBX/,,,
ELIVAAS Lumin,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Tabra A2 Property Details Form,Yes,,,LUMIN LISTING CONTENT,Done,,,LUMIN BROCHURE CONTENT,Done,Done,Elivaas_Lumin_4BHK_Detailed Brochure.pdf,https://bit.ly/3VzGRYY,Done,,,G1LN4E0067_4BHK_Detailed Brochure.pdf,https://bit.ly/3VyJrhP,Done,LUMIN HOME GUIDE,Lumin - HOME GUIDE.pdf,,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Lumin.mp4,,G1LN4E0067.mp4,https://bit.ly/457ZLJB,,,Tabra A2,https://bit.ly/45fm0xi,"https://www.instagram.com/p/C9rKDfmo0zd/, https://www.instagram.com/p/C7yhdtCojw7/",,,
ELIVAAS Panache,ELIVAAS,Goa,Arpora,3-BHK Villa,No,Panache Property Details Form,Yes,,,PANACHE Listing Content,Done,,,PANACHE Brochure Content,Done,Done,ELIVAAS_Panache_Detailed Brochure.pdf,https://bit.ly/3REl7sF,Done,Good To Go,,G1PE3E0018_Detailed Brochure.pdf,https://bit.ly/3BPwjx4,Done,PANACHE HOME GUIDE,Panache - HOME GUIDE.pdf,Good To Go,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Panache Walkthrough.mp4,Panache Walkthrough.mp4,G1PE3E0018.mp4,https://bit.ly/3SDeyG7,Panache,,Panache - 3BHK Arpora,https://bit.ly/3AhJnek,"https://www.instagram.com/p/C-GiXVMSkuK/, https://www.instagram.com/p/C-Amt60vvk6/",,,
ELIVAAS PinkSky,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Tabra A3 Property Details Form,Yes,,,PINKSKY LISTING CONTENT,Done,PINKSKY WEBSITE CONTENT,,PINKSKY BROCHURE,Done,Done,ELIVAAS PinkSky_4-BHK_Detailed brochure.pdf,https://bit.ly/4cZv37P,Done,,,G1PY4E0112_4-BHK_Detailed brochure.pdf,https://bit.ly/3Mo0wp9,Done,,,,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,,,,https://bit.ly/4dDGjYA,,,Pinksky,https://bit.ly/3UtTSlD,,,,
Silver Estate at Moira Unit 655,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Silver Estate at Moira Unit 655 Factsheet.docx,Yes,,,BAUHINIA LISTING.docx,Done,BLUDOOR WEBSITE SPACES SECTION,Done,SILVER ESTATE AT MOIRA UNIT 655 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/3Tg6Bsu,Done,Good To Go,,G1BA5E0010_Detailed Brochure.pdf,https://bit.ly/3teiX9Y,Done,Silver Estate at Moira Unit 655 - HOME GUIDE.pdf,Silver Estate at Moira Unit 655 - HOME GUIDE.pdf,Good To Go,,Silver Estate at Moira Unit 655 - Set Menu.pdf,Silver Estate at Moira Unit 655 - Set Menu.pdf,Panache Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1LN4E0067.mp4,https://bit.ly/4cXXLpE,Dahlia,,"Risaia, nerul",https://bit.ly/3Q58OVP,https://www.instagram.com/p/C9uCCLUPWgr/,18.0,21500.0,contact18@elivaas.com
Whispering EstateNerul Unit 873,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Whispering EstateNerul Unit 873 Factsheet.docx,Yes,,,"PALMS, C-7 Listing Content",Done,PINKSKY WEBSITE CONTENT,Done,WHISPERING ESTATENERUL UNIT 873 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/3LP3LWw,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/3RIMWjS,Done,Whispering EstateNerul Unit 873 - HOME GUIDE.pdf,Whispering EstateNerul Unit 873 - HOME GUIDE.pdf,Good To Go,,Whispering EstateNerul Unit 873 - Set Menu.pdf,Whispering EstateNerul Unit 873 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/49cYrpY,Celest,,Panache - 3BHK Arpora,https://bit.ly/3LV8hD8,https://www.instagram.com/p/C-iXFaEC2jw/,19.0,18500.0,contact19@elivaas.com
Emerald EstateNerul Unit 951,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Emerald EstateNerul Unit 951 Factsheet.docx,Yes,,,"WAVES, C-7 Listing Content",Done,PINKSKY WEBSITE CONTENT,Done,EMERALD ESTATENERUL UNIT 951 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/3ti0FVm,Done,Good To Go,,G1PE3E0018_Detailed Brochure.pdf,https://bit.ly/3InBiFg,Done,Emerald EstateNerul Unit 951 - HOME GUIDE.pdf,Emerald EstateNerul Unit 951 - HOME GUIDE.pdf,Good To Go,,Emerald EstateNerul Unit 951 - Set Menu.pdf,Emerald EstateNerul Unit 951 - Set Menu.pdf,Bauhinia Walkthrough.mp4,Dahlia Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/4bzVcKM,Cloud 7  Cove,,Villa 2,https://bit.ly/469uGol,https://www.instagram.com/p/DCqhrEhScle/ | https://www.instagram.com/p/C_lDDY-o8q7/ https://www.instagram.com/p/C-AwXOVSUj8/ | https://www.instagram.com/p/C9xA2Ahymi-/ https://www.instagram.com/p/C9t4rQhOpxF/ | https://www.instagram.com/p/C9C5uguJtwH/  https://www.instagram.com/p/C6TU16rJs8B/ | https://www.instagram.com/p/C6OeuNuMdEn/,20.0,12500.0,contact20@elivaas.com
Amber Heights in Moira Unit 969,ELIVAAS,Goa,Vagator,4-BHK Villa,Pet-friendly,Amber Heights in Moira Unit 969 Factsheet.docx,Yes,,,INDAH Listing Content,Done,BLUDOOR WEBSITE SPACES SECTION,Done,AMBER HEIGHTS IN MOIRA UNIT 969 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/3ThQkmS,Done,Good To Go,,G1IH4E0015_Detailed Brochure.pdf,https://bit.ly/3TjceGl,Done,Amber Heights in Moira Unit 969 - HOME GUIDE.pdf,Amber Heights in Moira Unit 969 - HOME GUIDE.pdf,Good To Go,,Amber Heights in Moira Unit 969 - Set Menu.pdf,Amber Heights in Moira Unit 969 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/49bkGg0,Indah,,"Risaia, nerul",https://bit.ly/48un1CG,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",21.0,13500.0,contact21@elivaas.com
Sapphire CourtNerul Unit 1025,ELIVAAS,Goa,Moira,4-BHK Villa,No,Sapphire CourtNerul Unit 1025 Factsheet.docx,Yes,,,BLUDOOR Listing Content,Done,BLUDOOR WEBSITE SPACES SECTION,Done,SAPPHIRE COURTNERUL UNIT 1025 BROCHURE.docx,Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Sapphire CourtNerul Unit 1025 - HOME GUIDE.pdf,Sapphire CourtNerul Unit 1025 - HOME GUIDE.pdf,Good To Go,,Sapphire CourtNerul Unit 1025 - Set Menu.pdf,Sapphire CourtNerul Unit 1025 - Set Menu.pdf,Bauhinia Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3OHjKYm,Dahlia,,Tabra A2,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",22.0,19500.0,contact22@elivaas.com
Vista Meadows at Moira Unit 494,ELIVAAS,Goa,Vagator,4-BHK Villa,No,Vista Meadows at Moira Unit 494 Factsheet.docx,Yes,,,DAHLIA Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,VISTA MEADOWS AT MOIRA UNIT 494 BROCHURE.docx,Done,Done,Elivaas_Dahlia_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Vista Meadows at Moira Unit 494 - HOME GUIDE.pdf,Vista Meadows at Moira Unit 494 - HOME GUIDE.pdf,Good To Go,,Vista Meadows at Moira Unit 494 - Set Menu.pdf,Vista Meadows at Moira Unit 494 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Celeste Walkthrough.mp4,G1IH4E0015.MP4,https://bit.ly/3SwlswI,Panache,,Bauhinia 5BHK Assagao,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",23.0,21500.0,contact23@elivaas.com
Azure Heights in Moira Unit 622,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Azure Heights in Moira Unit 622 Factsheet.docx,Yes,,,CELEST Listing Content,Done,PINKSKY WEBSITE CONTENT,Done,AZURE HEIGHTS IN MOIRA UNIT 622 BROCHURE.docx,Done,Done,Elivaas_Dahlia_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1OS4E0017_Detailed Brochure .pdf,https://bit.ly/48gl0cp,Done,Azure Heights in Moira Unit 622 - HOME GUIDE.pdf,Azure Heights in Moira Unit 622 - HOME GUIDE.pdf,Good To Go,,Azure Heights in Moira Unit 622 - Set Menu.pdf,Azure Heights in Moira Unit 622 - Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1IH4E0015.MP4,https://bit.ly/3SHbjNQ,Cloud 7  Coral,,Celest - 4 BHK Arpora,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",24.0,14500.0,contact24@elivaas.com
Pearl Haven in Assagao Unit 301,ELIVAAS,Goa,Arpora,4-BHK Villa,No,Pearl Haven in Assagao Unit 301 Factsheet.docx,Yes,,,"CORAL, C-7 Listing Content",Done,BLUDOOR WEBSITE SPACES SECTION,Done,PEARL HAVEN IN ASSAGAO UNIT 301 BROCHURE.docx,Done,Done,ELIVAAS_Bludoor_Detailed Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,Pearl Haven in Assagao Unit 301 - HOME GUIDE.pdf,Pearl Haven in Assagao Unit 301 - HOME GUIDE.pdf,Good To Go,,Pearl Haven in Assagao Unit 301 - Set Menu.pdf,Pearl Haven in Assagao Unit 301 - Set Menu.pdf,Celest Walkthrough.mp4,Risaia Walkthrough.mp4,G1LN4E0067.mp4,https://bit.ly/3uEuOP6,Indah,,Opalys - 4 BHK Arpora,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",25.0,11000.0,contact25@elivaas.com
